cle_interop;id_ban_commune;id_ban_toponyme;id_ban_adresse;voie_nom;lieudit_complement_nom;numero;suffixe;certification_commune;commune_insee;commune_nom;commune_deleguee_insee;commune_deleguee_nom;position;long;lat;x;y;cad_parcelles;source;date_der_maj
51576_xxxx_00001;5b079667-9610-498c-a63d-a11ab685cd8e;2d445b45-1c0d-40cf-a639-961a5cb9dc56;59e70d56-8bd6-4775-8a3d-00ee05c7f523;Rue de Crouy;;1;;1;51576;Tours-sur-Marne;;;entrée;4.117386;49.047128;781684.21;6883605.86;;commune;2023-04-30
51576_xxxx_00001;5b079667-9610-498c-a63d-a11ab685cd8e;a54bd83d-cf97-4175-a733-f6e3a174041a;562de30e-2d62-496b-b169-2e8b9d8bc68c;Quai du Canal;;1;;1;51576;Tours-sur-Marne;;;entrée;4.120443;49.046604;781908.54;6883550.72;;commune;2023-03-20
51576_xxxx_00001;5b079667-9610-498c-a63d-a11ab685cd8e;8901002c-8223-449a-8fed-4815676787e7;2e56e60c-d2e2-4d94-9a16-5e72426e62a1;Rue Protain Gervais;;1;;1;51576;Tours-sur-Marne;;;délivrance postale;4.122224;49.047729;782036.91;6883677.74;;commune;2023-11-02
51576_xxxx_00001;5b079667-9610-498c-a63d-a11ab685cd8e;88f1eb98-1235-4c7d-90e5-38e51d3f9c4b;11f691d1-8b99-44f8-99be-25418d5b1048;Route de Bouzy;;1;;1;51576;Tours-sur-Marne;;;entrée;4.121804;49.050317;782002.17;6883965.09;;commune;2023-12-20
51576_xxxx_00001;5b079667-9610-498c-a63d-a11ab685cd8e;578bb4be-84bc-46a8-a25a-9d9be08c91c1;4ed87622-47eb-446d-bea8-6abfb7cf55d7;Route Départementale 34;;1;;1;51576;Tours-sur-Marne;;;entrée;4.137637;49.076684;783117.18;6886913.75;;commune;2023-10-10
51576_xxxx_00001;5b079667-9610-498c-a63d-a11ab685cd8e;25441fdf-dca1-4f36-9a81-bea547909b10;2c853fcd-2e92-4eaf-9642-9c68678a8a47;Rue du Buisson Jacquet;;1;;1;51576;Tours-sur-Marne;;;entrée;4.109697;49.050162;781117.44;6883935.29;;commune;2023-04-28
51576_xxxx_00001;5b079667-9610-498c-a63d-a11ab685cd8e;e655108d-1bbc-47be-992e-ca1c4d00a71b;e80c7808-b2fc-4381-b3f2-aaaea354f8b7;route de Bisseuil;;1;;1;51576;Tours-sur-Marne;;;entrée;4.112132;49.048519;781297.98;6883755.12;;commune;2023-01-31
51576_xxxx_00001;5b079667-9610-498c-a63d-a11ab685cd8e;06d2a287-bded-4d6e-9b31-2c914907c3ce;d3dce99c-6f5e-4802-922f-47fe4800835d;Rue du Rempart Nord-Est;;1;;1;51576;Tours-sur-Marne;;;entrée;4.123802;49.049011;782150.27;6883821.93;;commune;2025-01-28
51576_xxxx_00001;5b079667-9610-498c-a63d-a11ab685cd8e;6f05b86b-cac5-40af-8966-2b0ee12601aa;89e035fc-7b13-48cd-9ff2-19c2a5613d6e;Rue du Chateau;;1;;1;51576;Tours-sur-Marne;;;entrée;4.124292;49.04691;782189.38;6883588.83;;commune;2023-05-31
51576_xxxx_00001;5b079667-9610-498c-a63d-a11ab685cd8e;49c5ef30-e4ff-48fe-9fbe-44de51749ddd;f631e282-4e94-49de-9bd7-11bfc6997e84;Allee Mont Brule;;1;;1;51576;Tours-sur-Marne;;;entrée;4.11065;49.050897;781185.94;6884018.09;;commune;2023-04-28
51576_xxxx_00001;5b079667-9610-498c-a63d-a11ab685cd8e;87ac4974-dae5-4e53-ae04-b210c7818f77;08ec7ca7-1c78-4ab8-be62-f02ca2815690;Rue des Moissons;;1;;1;51576;Tours-sur-Marne;;;entrée;4.125773;49.052798;782288.34;6884245.07;;commune;2023-03-20
51576_xxxx_00001;5b079667-9610-498c-a63d-a11ab685cd8e;bb0f528d-f134-4951-835e-e50e3991aa02;ba5da596-66f2-48d2-bae7-45bbc20e27dd;Rue des Bobines;;1;;1;51576;Tours-sur-Marne;;;entrée;4.113558;49.048;781403.08;6883698.9;;commune;2023-04-30
